,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1669,1669,2024-12-20,2015-07-22,"Boston, MA",within an hour,100%,100%,t,Dorchester,4,4,"['email', 'phone']",f,Neighborhood highlights,Dorchester,,42.29928,-71.0609,Entire rental unit,Entire home/apt,10,2.0,4.0,5.0,"[""Smoke alarm"", ""Ethernet connection"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Free driveway parking on premises \u2013 2 spaces"", ""Body soap"", ""Shower gel"", ""50 inch TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Washer \u2013\u00a0In unit"", ""Essentials"", ""Long term stays allowed"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Crib"", ""Outdoor dining area"", ""Exterior security cameras on property"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Smart lock"", ""Bed linens"", ""Hot water"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""BBQ grill: gas"", ""Dishes and silverware"", ""Pets allowed"", ""Outdoor furniture"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Conditioner""]",$359.00,2,28,2.0,3.0,28.0,28.0,2.1,28.0,,t,22,52,82,2024-12-20,76,10,0,2021-04-26,2024-10-06,4.8,4.84,4.96,4.95,4.34,4.71
1681,1681,2024-12-20,2014-09-02,"Boston, MA",within a few hours,100%,53%,t,North End,49,115,"['email', 'phone', 'work_email']",t,Neighborhood highlights,North End,,42.36718,-71.0517,Entire serviced apartment,Entire home/apt,3,1.0,2.0,2.0,"[""Smoke alarm"", ""Clothing storage"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Lockbox"", ""Body soap"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Oven"", ""Bathtub"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Window AC unit"", ""Dining table"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In unit"", ""HDTV with Roku"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Pets allowed"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water""]",$250.00,9,90,9.0,9.0,90.0,90.0,9.0,90.0,,t,7,34,64,2024-12-20,15,5,0,2021-11-01,2024-09-14,4.8,4.73,4.93,4.67,4.93,4.67
1682,1682,2024-12-20,2020-07-21,,within an hour,100%,100%,t,Brighton,8,12,"['email', 'phone']",t,,Brighton,,42.34313,-71.15594,Private room in home,Private room,2,2.0,1.0,1.0,"[""Smoke alarm"", ""Hangers"", ""Body soap"", ""Shower gel"", ""TV"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Room-darkening shades"", ""Keypad"", ""Essentials"", ""Indoor fireplace"", ""Air conditioning"", ""Coffee maker: Keurig coffee machine"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Mini fridge"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Hair dryer"", ""Dishes and silverware"", ""Shampoo"", ""Iron"", ""Hot water""]",$90.00,3,28,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,10,27,57,2024-12-20,75,26,0,2021-05-31,2024-11-11,4.95,4.92,4.99,4.95,4.83,4.88
1683,1683,2024-12-20,2020-07-21,,within an hour,100%,100%,t,Brighton,8,12,"['email', 'phone']",t,,Brighton,,42.34488,-71.15442,Private room in home,Private room,2,2.0,1.0,1.0,"[""Smoke alarm"", ""Hangers"", ""Body soap"", ""Shower gel"", ""TV"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Coffee maker: Keurig coffee machine"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Mini fridge"", ""First aid kit"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Hair dryer"", ""Shampoo"", ""Iron"", ""Hot water""]",$80.00,3,31,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,0,17,47,2024-12-20,89,30,0,2021-05-22,2024-11-19,4.9,4.92,4.97,4.96,4.8,4.83
1684,1684,2024-12-20,2020-01-27,,within an hour,100%,100%,t,Back Bay West,129,131,"['email', 'phone']",t,Neighborhood highlights,Fenway,,42.34246,-71.10145,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Smoke alarm"", ""Clothing storage: closet"", ""Coffee maker: drip coffee maker"", ""Hangers"", ""TV with Roku"", ""Radiant heating"", ""Stove"", ""Paid washer \u2013 In building"", ""Freezer"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bathtub"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Wifi"", ""Microwave"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Bed linens"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Pets allowed"", ""Blender"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water""]",$155.00,2,1125,1.0,4.0,1125.0,1125.0,2.2,1125.0,,t,15,37,67,2024-12-20,205,53,1,2021-04-30,2024-11-29,4.82,4.89,4.91,4.86,4.89,4.68
1686,1686,2024-12-20,2014-10-14,"New York, NY",within an hour,100%,99%,t,Upper East Side,318,1149,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Fenway,,42.34516,-71.09652,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Gym"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Building staff"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Pets allowed"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",$185.00,32,270,32.0,32.0,1125.0,1125.0,32.0,1125.0,,t,30,60,90,2024-12-20,2,0,0,2023-04-21,2023-06-30,5.0,4.5,5.0,4.0,5.0,4.0
1687,1687,2024-12-20,2014-10-14,"New York, NY",within an hour,100%,99%,t,Upper East Side,318,1149,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Fenway,,42.34486,-71.09622,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Gym"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Building staff"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Pets allowed"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",$190.00,32,270,32.0,32.0,1125.0,1125.0,32.0,1125.0,,t,27,57,87,2024-12-20,0,0,0,,,,,,,,
1689,1689,2024-12-20,2020-07-21,,within an hour,100%,100%,t,Brighton,8,12,"['email', 'phone']",t,,Brighton,,42.34368,-71.1546,Private room in home,Private room,2,2.0,1.0,0.0,"[""Smoke alarm"", ""Hangers"", ""Stove"", ""Body soap"", ""Shower gel"", ""TV"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Air conditioning"", ""Coffee maker: Keurig coffee machine"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Mini fridge"", ""Coffee"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Ceiling fan"", ""Kitchen"", ""Hair dryer"", ""Shampoo"", ""Iron"", ""Hot water""]",$95.00,2,28,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,10,27,57,2024-12-20,30,9,0,2021-08-04,2024-11-10,4.8,4.7,4.93,4.8,4.67,4.6
1694,1694,2024-12-20,2021-05-03,,within an hour,100%,100%,t,Dorchester,1,1,"['email', 'phone']",t,Neighborhood highlights,Dorchester,,42.313251,-71.054817,Entire condo,Entire home/apt,6,1.0,1.0,2.0,"[""Smoke alarm"", ""Conditioner"", ""Coffee maker: drip coffee maker"", ""Hangers"", ""Radiant heating"", ""Lockbox"", ""Body soap"", ""Shared beach access"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Clothing storage: walk-in closet and dresser"", ""Freezer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Oven"", ""Outlet covers"", ""57 inch HDTV with Roku, Amazon Prime Video"", ""Changing table"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Essentials"", ""Single level home"", ""High chair"", ""Fast wifi \u2013 220 Mbps"", ""Drying rack for clothing"", ""Portable fans"", ""Dedicated workspace"", ""Baby bath"", ""Cooking basics"", ""Hot water kettle"", ""Window AC unit"", ""Stainless steel gas stove"", ""Dining table"", ""Free street parking"", ""Shared patio or balcony"", ""Coffee"", ""Microwave"", ""Shared backyard \u2013 Fully fenced"", ""Google assistant sound system"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Cleaning available during stay"", ""Free washer \u2013 In building"", ""Private entrance"", ""Kitchen"", ""Hair dryer"", ""Free parking on premises"", ""Dishes and silverware"", ""Outdoor furniture"", ""Shampoo"", ""Blender"", ""Iron"", ""Baking sheet"", ""Hot water"", ""Free dryer \u2013 In building""]",$186.00,4,27,3.0,4.0,27.0,27.0,4.0,27.0,,t,26,56,82,2024-12-20,131,32,1,2021-09-12,2024-11-29,4.96,4.97,4.99,4.97,4.92,4.88
1696,1696,2024-12-20,2015-03-17,"Boston, MA",within a day,50%,100%,t,West Roxbury,1,1,"['email', 'phone']",t,Neighborhood highlights,West Roxbury,,42.2883,-71.15351,Entire condo,Entire home/apt,5,1.0,3.0,3.0,"[""Heating"", ""Dedicated workspace"", ""Kitchen"", ""Hangers"", ""Dryer"", ""Hair dryer"", ""Refrigerator"", ""Free parking on premises"", ""Essentials"", ""Air conditioning"", ""TV"", ""Shampoo"", ""Wifi"", ""Iron"", ""Coffee"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Private entrance""]",$245.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,15,45,68,2024-12-20,82,10,0,2021-05-23,2024-11-17,4.83,4.88,4.9,4.91,4.84,4.73
1697,1697,2024-12-20,2014-10-14,"New York, NY",within an hour,100%,99%,t,Upper East Side,318,1149,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Chinatown,,42.35143,-71.06029,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Gym"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Building staff"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Pets allowed"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",$185.00,30,270,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,29,2024-12-20,0,0,0,,,,,,,,
1698,1698,2024-12-20,2009-02-19,"Boston, MA",within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,,Roxbury,,42.32829,-71.09404,Entire rental unit,Entire home/apt,8,2.0,4.0,4.0,"[""Smoke alarm"", ""Conditioner"", ""Coffee maker"", ""Hangers"", ""Body soap"", ""TV"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Indoor fireplace"", ""Air conditioning"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Dining table"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Hair dryer"", ""Free parking on premises"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$389.00,3,29,3.0,5.0,1125.0,1125.0,3.0,1125.0,,t,22,52,79,2024-12-20,21,6,0,2021-08-31,2024-10-13,4.95,4.95,5.0,4.95,4.67,4.9
1701,1701,2024-12-20,2009-02-19,"Boston, MA",within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,,Roxbury,,42.3234,-71.09018,Entire rental unit,Entire home/apt,8,1.5,3.0,4.0,"[""Smoke alarm"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Freezer"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Keypad"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Long term stays allowed"", ""Wine glasses"", ""Dedicated workspace"", ""Cooking basics"", ""Window AC unit"", ""Free street parking"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Self check-in"", ""Portable heater"", ""Kitchen"", ""Central heating"", ""Hair dryer"", ""Refrigerator"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""BBQ grill"", ""Outdoor furniture"", ""Shampoo"", ""Backyard"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",$250.00,3,60,3.0,5.0,1125.0,1125.0,3.0,1125.0,,t,17,47,77,2024-12-20,68,15,2,2021-07-02,2024-11-30,4.93,4.9,5.0,5.0,4.59,4.85
