,Unnamed: 0,last_scraped,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1021,1021,2024-12-20,2018-10-29,"Boston, MA",,,,f,Back Bay,2,9,['phone'],t,Neighborhood highlights,Back Bay,,42.34508,-71.07953,Entire serviced apartment,Entire home/apt,5,,2.0,,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Wifi"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",,91,730,91.0,91.0,730.0,730.0,91.0,730.0,,,0,0,0,2024-12-20,17,0,0,2018-12-03,2019-07-01,4.35,4.88,4.71,4.71,5.0,4.65
1022,1022,2024-12-20,2015-08-24,"Boston, MA",within an hour,100%,99.0,f,Roxbury,7,19,"['email', 'phone']",t,Neighborhood highlights,Roxbury,,42.32888,-71.08723,Entire home,Entire home/apt,6,2.0,2.0,3.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Oven"", ""Bathtub"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Exterior security cameras on property"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Smart lock"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Iron"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",202.0,29,1125,29.0,30.0,1125.0,1125.0,29.2,1125.0,,t,17,28,52,2024-12-20,81,0,0,2018-11-11,2021-12-11,4.68,4.69,4.88,4.91,4.4,4.59
1037,1037,2024-12-20,2013-12-18,"Wellesley, MA",within an hour,100%,93.0,t,Jamaica Plain,8,9,"['email', 'phone']",t,Neighborhood highlights,Jamaica Plain,,42.31031,-71.1027,Entire condo,Entire home/apt,8,2.0,4.0,4.0,"[""Smoke alarm"", ""Conditioner"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Body soap"", ""Shower gel"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Dryer"", ""Fire extinguisher"", ""Host greets you"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Essentials"", ""Indoor fireplace"", ""Long term stays allowed"", ""AC - split type ductless system"", ""Wine glasses"", ""HDTV with Netflix"", ""Portable fans"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hot water kettle"", ""Dining table"", ""Fire pit"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Coffee"", ""Smart lock"", ""Bed linens"", ""First aid kit"", ""Self check-in"", ""Kitchen"", ""Stainless steel oven"", ""Portable air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Dishes and silverware"", ""Washer"", ""Smoking allowed"", ""Outdoor furniture"", ""Shampoo"", ""Clothing storage: closet and dresser"", ""Iron"", ""Blender"", ""Private patio or balcony"", ""Toaster"", ""Dishwasher"", ""BBQ grill: charcoal"", ""Hot water"", ""Private entrance""]",349.0,2,730,1.0,2.0,730.0,730.0,2.0,730.0,,t,0,0,19,2024-12-20,52,13,0,2020-12-13,2024-10-30,4.94,4.98,5.0,5.0,4.85,4.85
1050,1050,2024-12-20,2017-04-26,"Boston, MA",within an hour,100%,100.0,t,Dorchester,7,16,"['email', 'phone']",t,Neighborhood highlights,Dorchester,,42.31436,-71.05746,Entire home,Entire home/apt,16,4.5,6.0,12.0,"[""Smoke alarm"", ""Ethernet connection"", ""Central air conditioning"", ""Coffee maker"", ""Hangers"", ""Indoor fireplace: electric"", ""Shower gel"", ""Shared beach access"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Private backyard \u2013 Fully fenced"", ""Oven"", ""Bathtub"", ""Changing table"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Beach essentials"", ""Children\u2019s books and toys"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Long term stays allowed"", ""Wine glasses"", ""Babysitter recommendations"", ""52 inch HDTV with Roku"", ""Heating"", ""Cooking basics"", ""Crib"", ""Children\u2019s dinnerware"", ""Exterior security cameras on property"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Smart lock"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Samsung stainless steel gas stove"", ""Refrigerator"", ""Hair dryer"", ""Paid parking lot off premises"", ""Dishes and silverware"", ""Pets allowed"", ""BBQ grill"", ""Outdoor furniture"", ""Shampoo"", ""Private patio or balcony"", ""Iron"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",420.0,1,100,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,5,14,17,2024-12-20,51,5,1,2019-07-07,2024-11-24,4.92,4.92,4.92,5.0,4.82,4.76
1053,1053,2024-12-20,2017-12-03,"Boston, MA",within an hour,100%,95.0,t,South Boston,2,2,"['email', 'phone']",t,Neighborhood highlights,South Boston,,42.33354,-71.03916,Entire rental unit,Entire home/apt,8,1.0,3.0,3.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""TV"", ""Carbon monoxide alarm"", ""Oven"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Cooking basics"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Microwave"", ""Smart lock"", ""First aid kit"", ""Bed linens"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Beach access \u2013 Beachfront"", ""Dishes and silverware"", ""Washer"", ""Shampoo"", ""Backyard"", ""Iron"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",278.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,26,56,80,2024-12-20,259,45,1,2019-01-01,2024-11-24,4.85,4.81,4.92,4.88,4.86,4.71
1057,1057,2024-12-20,2018-10-02,"Boston, MA",,,,f,South End,1,1,['phone'],t,Neighborhood highlights,South End,,42.34567,-71.07291,Entire serviced apartment,Entire home/apt,8,,2.0,,"[""Smoke alarm"", ""Ethernet connection"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Beach essentials"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Cooking basics"", ""Baby bath"", ""Crib"", ""Children\u2019s dinnerware"", ""Wifi"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Kitchen"", ""Paid parking on premises"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Washer"", ""Paid parking off premises"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,,0,0,0,2024-12-20,38,0,0,2019-01-27,2019-12-23,4.61,4.71,4.68,4.66,4.79,4.47
1070,1070,2024-12-20,2019-01-24,,within a day,100%,0.0,f,Dorchester,2,2,"['email', 'phone']",t,Neighborhood highlights,Dorchester,,42.29278,-71.06816,Entire rental unit,Entire home/apt,6,1.0,2.0,2.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Shower gel"", ""Carbon monoxide alarm"", ""Oven"", ""Dryer"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Indoor fireplace"", ""Air conditioning"", ""Fast wifi \u2013 362 Mbps"", ""Breakfast"", ""Heating"", ""Cooking basics"", ""Free street parking"", ""Microwave"", ""First aid kit"", ""Bed linens"", ""HDTV with premium cable"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Barbecue utensils"", ""Dishes and silverware"", ""Washer"", ""Patio or balcony"", ""BBQ grill"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water"", ""Private entrance""]",125.0,91,365,91.0,91.0,365.0,365.0,91.0,365.0,,t,30,60,90,2024-12-20,1,0,0,2023-03-04,2023-03-04,5.0,5.0,5.0,3.0,4.0,4.0
1085,1085,2024-12-20,2016-07-03,"Massachusetts, United States",,,,f,West Roxbury,3,3,"['email', 'phone']",f,Neighborhood highlights,West Roxbury,,42.26619,-71.16496,Entire home,Entire home/apt,6,,2.0,,"[""Smoke alarm"", ""Ethernet connection"", ""Hangers"", ""TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Bathtub"", ""Dryer"", ""Changing table"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Crib"", ""Children\u2019s dinnerware"", ""Free street parking"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""Free parking on premises"", ""Washer"", ""BBQ grill"", ""Shampoo"", ""Backyard"", ""Hot water"", ""Private entrance""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,29,59,89,2024-12-20,2,0,0,2019-04-29,2019-05-09,5.0,5.0,5.0,5.0,5.0,5.0
1092,1092,2024-12-20,2012-03-25,"Boston, MA",within an hour,100%,99.0,t,Spring Hill,30,73,"['email', 'phone']",t,Neighborhood highlights,Beacon Hill,,42.3607,-71.06916,Entire condo,Entire home/apt,6,1.0,3.0,3.0,"[""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Heating"", ""Window AC unit"", ""Pack \u2019n play/Travel crib - available upon request"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Free washer \u2013 In building"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Paid parking off premises"", ""Shampoo"", ""Iron"", ""Dishwasher"", ""Hot water"", ""Free dryer \u2013 In building""]",198.0,1,1125,1.0,4.0,1125.0,1125.0,3.4,1125.0,,t,1,25,55,2024-12-20,224,43,1,2019-03-06,2024-11-23,4.34,4.46,4.47,4.82,4.81,4.24
1097,1097,2024-12-20,2017-08-22,"Boston, MA",within a few hours,100%,83.0,t,Roslindale,2,3,"['email', 'phone']",t,Neighborhood highlights,Roslindale,,42.27855,-71.14064,Entire condo,Entire home/apt,5,1.0,2.0,3.0,"[""Smoke alarm"", ""Conditioner"", ""Hangers"", ""Board games"", ""Stove"", ""Body soap"", ""Freezer"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Oven"", ""Bathtub"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Beach essentials"", ""Children\u2019s books and toys"", ""Essentials"", ""Single level home"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Long term stays allowed"", ""Wine glasses"", ""Heating"", ""Dedicated workspace"", ""Baby bath"", ""Cooking basics"", ""Window AC unit"", ""Crib"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Smart lock"", ""Bed linens"", ""Self check-in"", ""Free washer \u2013 In building"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Ceiling fan"", ""Private entrance"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Pets allowed"", ""BBQ grill"", ""Outdoor furniture"", ""Shampoo"", ""Clothing storage: closet and dresser"", ""Iron"", ""Private patio or balcony"", ""Baking sheet"", ""Toaster"", ""Dishwasher"", ""Hot water"", ""Free dryer \u2013 In building""]",135.0,29,365,29.0,29.0,365.0,365.0,29.0,365.0,,t,30,60,72,2024-12-20,10,1,0,2019-05-01,2024-07-31,4.9,4.9,4.8,4.8,4.9,4.7
1103,1103,2024-12-20,2017-06-07,"Boston, MA",,,,f,Fenway/Kenmore,14,15,"['email', 'phone']",t,,Back Bay,,42.34449,-71.08385,Entire rental unit,Entire home/apt,5,,2.0,,"[""Smoke alarm"", ""Heating"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Self check-in"", ""Keypad"", ""Essentials"", ""Washer"", ""Air conditioning"", ""TV"", ""Shampoo"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Hot water""]",,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,0,0,0,2024-12-20,10,0,0,2019-05-31,2019-08-24,4.6,4.5,4.7,4.6,4.9,4.3
